grid_id,lat,lon
GRID_000000,8.382893244804443,76.9780825181501
GRID_000001,8.392893244804442,76.9680825181501
GRID_000002,8.392893244804442,76.9780825181501
GRID_000003,8.402893244804442,76.9780825181501
GRID_000004,8.54289324480444,77.1580825181502
GRID_000005,8.552893244804439,77.1580825181502
GRID_000006,8.552893244804439,77.1680825181502
GRID_000007,8.562893244804439,77.14808251815019
GRID_000008,8.562893244804439,77.1580825181502
GRID_000009,8.572893244804439,77.10808251815017
GRID_000010,8.572893244804439,77.13808251815018
GRID_000011,8.572893244804439,77.14808251815019
GRID_000012,8.572893244804439,77.1580825181502
GRID_000013,8.572893244804439,77.1680825181502
GRID_000014,8.582893244804438,77.07808251815015
GRID_000015,8.582893244804438,77.10808251815017
GRID_000016,8.582893244804438,77.11808251815017
GRID_000017,8.582893244804438,77.12808251815018
GRID_000018,8.582893244804438,77.13808251815018
GRID_000019,8.582893244804438,77.14808251815019
GRID_000020,8.582893244804438,77.1580825181502
GRID_000021,8.582893244804438,77.1680825181502
GRID_000022,8.582893244804438,77.1780825181502
GRID_000023,8.592893244804438,77.06808251815015
GRID_000024,8.592893244804438,77.07808251815015
GRID_000025,8.592893244804438,77.08808251815016
GRID_000026,8.592893244804438,77.09808251815016
GRID_000027,8.592893244804438,77.10808251815017
GRID_000028,8.592893244804438,77.11808251815017
GRID_000029,8.592893244804438,77.12808251815018
GRID_000030,8.592893244804438,77.13808251815018
GRID_000031,8.592893244804438,77.14808251815019
GRID_000032,8.592893244804438,77.1580825181502
GRID_000033,8.592893244804438,77.1680825181502
GRID_000034,8.592893244804438,77.1780825181502
GRID_000035,8.602893244804438,77.08808251815016
GRID_000036,8.602893244804438,77.09808251815016
GRID_000037,8.602893244804438,77.10808251815017
GRID_000038,8.602893244804438,77.11808251815017
GRID_000039,8.602893244804438,77.12808251815018
GRID_000040,8.602893244804438,77.13808251815018
GRID_000041,8.602893244804438,77.14808251815019
GRID_000042,8.602893244804438,77.1580825181502
GRID_000043,8.602893244804438,77.1680825181502
GRID_000044,8.602893244804438,77.1780825181502
GRID_000045,8.612893244804438,77.08808251815016
GRID_000046,8.612893244804438,77.09808251815016
GRID_000047,8.612893244804438,77.10808251815017
GRID_000048,8.612893244804438,77.12808251815018
GRID_000049,8.612893244804438,77.13808251815018
GRID_000050,8.612893244804438,77.14808251815019
GRID_000051,8.612893244804438,77.1580825181502
GRID_000052,8.622893244804438,77.06808251815015
GRID_000053,8.622893244804438,77.07808251815015
GRID_000054,8.622893244804438,77.12808251815018
GRID_000055,8.622893244804438,77.13808251815018
GRID_000056,8.622893244804438,77.14808251815019
GRID_000057,8.632893244804437,77.04808251815014
GRID_000058,8.632893244804437,77.05808251815014
GRID_000059,8.632893244804437,77.06808251815015
GRID_000060,8.632893244804437,77.07808251815015
GRID_000061,8.632893244804437,77.08808251815016
GRID_000062,8.632893244804437,77.09808251815016
GRID_000063,8.632893244804437,77.10808251815017
GRID_000064,8.632893244804437,77.13808251815018
GRID_000065,8.642893244804437,77.04808251815014
GRID_000066,8.642893244804437,77.05808251815014
GRID_000067,8.642893244804437,77.07808251815015
GRID_000068,8.642893244804437,77.08808251815016
GRID_000069,8.642893244804437,77.09808251815016
GRID_000070,8.642893244804437,77.10808251815017
GRID_000071,8.642893244804437,77.11808251815017
GRID_000072,8.642893244804437,77.12808251815018
GRID_000073,8.642893244804437,77.13808251815018
GRID_000074,8.652893244804437,77.02808251815013
GRID_000075,8.652893244804437,77.03808251815013
GRID_000076,8.652893244804437,77.04808251815014
GRID_000077,8.652893244804437,77.05808251815014
GRID_000078,8.652893244804437,77.06808251815015
GRID_000079,8.652893244804437,77.07808251815015
GRID_000080,8.652893244804437,77.08808251815016
GRID_000081,8.652893244804437,77.11808251815017
GRID_000082,8.652893244804437,77.12808251815018
GRID_000083,8.652893244804437,77.13808251815018
GRID_000084,8.662893244804437,77.02808251815013
GRID_000085,8.662893244804437,77.03808251815013
GRID_000086,8.662893244804437,77.04808251815014
GRID_000087,8.662893244804437,77.05808251815014
GRID_000088,8.662893244804437,77.07808251815015
GRID_000089,8.662893244804437,77.09808251815016
GRID_000090,8.662893244804437,77.11808251815017
GRID_000091,8.662893244804437,77.13808251815018
GRID_000092,8.672893244804436,76.9680825181501
GRID_000093,8.672893244804436,76.98808251815011
GRID_000094,8.672893244804436,77.03808251815013
GRID_000095,8.672893244804436,77.06808251815015
GRID_000096,8.672893244804436,77.07808251815015
GRID_000097,8.672893244804436,77.08808251815016
GRID_000098,8.672893244804436,77.09808251815016
GRID_000099,8.682893244804436,77.05808251815014
GRID_000100,8.682893244804436,77.06808251815015
GRID_000101,8.682893244804436,77.07808251815015
GRID_000102,8.682893244804436,77.09808251815016
GRID_000103,8.682893244804436,77.11808251815017
GRID_000104,8.692893244804436,77.02808251815013
GRID_000105,8.692893244804436,77.03808251815013
GRID_000106,8.692893244804436,77.04808251815014
GRID_000107,8.692893244804436,77.05808251815014
GRID_000108,8.692893244804436,77.06808251815015
GRID_000109,8.692893244804436,77.07808251815015
GRID_000110,8.692893244804436,77.08808251815016
GRID_000111,8.692893244804436,77.09808251815016
GRID_000112,8.692893244804436,77.11808251815017
GRID_000113,8.702893244804436,77.02808251815013
GRID_000114,8.702893244804436,77.03808251815013
GRID_000115,8.702893244804436,77.04808251815014
GRID_000116,8.702893244804436,77.05808251815014
GRID_000117,8.702893244804436,77.06808251815015
GRID_000118,8.702893244804436,77.07808251815015
GRID_000119,8.702893244804436,77.08808251815016
GRID_000120,8.702893244804436,77.09808251815016
GRID_000121,8.702893244804436,77.10808251815017
GRID_000122,8.712893244804436,77.01808251815012
GRID_000123,8.712893244804436,77.02808251815013
GRID_000124,8.712893244804436,77.03808251815013
GRID_000125,8.712893244804436,77.04808251815014
GRID_000126,8.712893244804436,77.06808251815015
GRID_000127,8.712893244804436,77.07808251815015
GRID_000128,8.712893244804436,77.08808251815016
GRID_000129,8.712893244804436,77.09808251815016
GRID_000130,8.712893244804436,77.10808251815017
GRID_000131,8.722893244804435,76.92808251815008
GRID_000132,8.722893244804435,77.06808251815015
GRID_000133,8.722893244804435,77.07808251815015
GRID_000134,8.722893244804435,77.08808251815016
GRID_000135,8.722893244804435,77.09808251815016
GRID_000136,8.732893244804435,76.92808251815008
GRID_000137,8.732893244804435,76.9680825181501
GRID_000138,8.732893244804435,77.00808251815012
GRID_000139,8.732893244804435,77.05808251815014
GRID_000140,8.732893244804435,77.06808251815015
GRID_000141,8.732893244804435,77.07808251815015
GRID_000142,8.732893244804435,77.10808251815017
GRID_000143,8.742893244804435,76.91808251815007
GRID_000144,8.742893244804435,76.95808251815009
GRID_000145,8.742893244804435,76.99808251815011
GRID_000146,8.742893244804435,77.03808251815013
GRID_000147,8.742893244804435,77.04808251815014
GRID_000148,8.742893244804435,77.05808251815014
GRID_000149,8.742893244804435,77.06808251815015
GRID_000150,8.742893244804435,77.08808251815016
GRID_000151,8.742893244804435,77.09808251815016
GRID_000152,8.752893244804435,76.95808251815009
GRID_000153,8.752893244804435,76.9680825181501
GRID_000154,8.752893244804435,77.00808251815012
GRID_000155,8.752893244804435,77.02808251815013
GRID_000156,8.752893244804435,77.03808251815013
GRID_000157,8.752893244804435,77.04808251815014
GRID_000158,8.752893244804435,77.05808251815014
GRID_000159,8.752893244804435,77.06808251815015
GRID_000160,8.752893244804435,77.07808251815015
GRID_000161,8.752893244804435,77.08808251815016
GRID_000162,8.762893244804435,77.00808251815012
GRID_000163,8.762893244804435,77.01808251815012
GRID_000164,8.762893244804435,77.02808251815013
GRID_000165,8.762893244804435,77.03808251815013
GRID_000166,8.762893244804435,77.04808251815014
GRID_000167,8.762893244804435,77.05808251815014
GRID_000168,8.762893244804435,77.06808251815015
GRID_000169,8.762893244804435,77.07808251815015
GRID_000170,8.772893244804434,76.99808251815011
GRID_000171,8.772893244804434,77.00808251815012
GRID_000172,8.772893244804434,77.01808251815012
GRID_000173,8.772893244804434,77.02808251815013
GRID_000174,8.772893244804434,77.03808251815013
GRID_000175,8.772893244804434,77.04808251815014
GRID_000176,8.772893244804434,77.05808251815014
GRID_000177,8.772893244804434,77.06808251815015
GRID_000178,8.772893244804434,77.07808251815015
GRID_000179,8.782893244804434,76.90808251815007
GRID_000180,8.782893244804434,76.91808251815007
GRID_000181,8.782893244804434,76.93808251815008
GRID_000182,8.782893244804434,76.99808251815011
GRID_000183,8.782893244804434,77.00808251815012
GRID_000184,8.782893244804434,77.02808251815013
GRID_000185,8.782893244804434,77.03808251815013
GRID_000186,8.782893244804434,77.04808251815014
GRID_000187,8.782893244804434,77.05808251815014
GRID_000188,8.782893244804434,77.06808251815015
GRID_000189,8.782893244804434,77.07808251815015
